cluster_id|norma
47|Portaria 322/1997
123|Portaria 326/1997
74|Portaria 32/1998
85|Portaria 344/1998
71|Portaria 34/1998
7|Portaria 35/1998
74|Portaria 40/1998
123|Portaria 453/1998
7|Portaria 503/1998
118|Portaria 554/1997
68|Portaria 685/1998
5|Portaria 72/1995
59|Portaria 741/1998
16|Portaria 818/1998
16|Portaria 946/1998
140|RDC 01/1999
95|RDC 01/2011
146|RDC 01/2013
119|RDC 01/2014
147|RDC 02/1999
106|RDC 02/2003
107|RDC 02/2010
120|RDC 02/2011
146|RDC 02/2015
141|RDC 03/2000
85|RDC 03/2004
115|RDC 03/2010
74|RDC 03/2013
85|RDC 03/2015
120|RDC 04/2009
91|RDC 04/2012
71|RDC 04/2013
120|RDC 04/2015
95|RDC 05/1999
96|RDC 05/2009
74|RDC 05/2013
105|RDC 05/2014
96|RDC 05/2015
95|RDC 06/1999
106|RDC 06/2001
147|RDC 06/2010
57|RDC 06/2011
121|RDC 06/2012
123|RDC 06/2013
85|RDC 06/2014
87|RDC 06/2015
95|RDC 07/1999
143|RDC 07/2000
85|RDC 07/2009
123|RDC 07/2010
100|RDC 07/2012
115|RDC 07/2015
123|RDC 08/2009
147|RDC 08/2010
147|RDC 08/2011
100|RDC 08/2012
110|RDC 08/2014
123|RDC 09/1999
147|RDC 09/2009
123|RDC 09/2010
123|RDC 09/2011
100|RDC 09/2012
147|RDC 09/2014
118|RDC 09/2015
147|RDC 100/2016
147|RDC 101/2000
109|RDC 102/2016
85|RDC 104/2000
111|RDC 104/2001
147|RDC 104/2004
111|RDC 105/2001
147|RDC 105/2016
147|RDC 106/2000
147|RDC 106/2016
120|RDC 107/2016
158|RDC 108/2016
115|RDC 109/2016
52|RDC 10/2004
106|RDC 10/2012
118|RDC 10/2015
115|RDC 110/2016
147|RDC 111/2016
123|RDC 112/2016
120|RDC 113/2016
1|RDC 115/2004
147|RDC 115/2016
147|RDC 116/2016
85|RDC 117/2016
147|RDC 118/2016
24|RDC 119/2016
147|RDC 11/2000
54|RDC 11/2004
57|RDC 11/2006
146|RDC 11/2009
123|RDC 11/2012
120|RDC 121/2016
147|RDC 122/2016
74|RDC 123/2016
152|RDC 124/2005
150|RDC 124/2016
106|RDC 125/2016
46|RDC 126/2016
110|RDC 128/2016
73|RDC 129/2002
1|RDC 129/2004
146|RDC 129/2016
54|RDC 12/2004
85|RDC 12/2006
85|RDC 12/2011
132|RDC 12/2012
51|RDC 12/2013
120|RDC 12/2014
95|RDC 12/2015
73|RDC 130/2002
85|RDC 130/2016
115|RDC 131/2016
147|RDC 133/2016
74|RDC 135/2017
74|RDC 136/2017
85|RDC 137/2004
147|RDC 137/2017
70|RDC 138/2017
147|RDC 139/2017
80|RDC 13/2011
51|RDC 13/2012
123|RDC 13/2013
123|RDC 13/2014
85|RDC 13/2015
120|RDC 140/2003
151|RDC 142/2003
115|RDC 142/2017
55|RDC 143/2003
85|RDC 143/2017
139|RDC 145/2017
85|RDC 147/2001
120|RDC 147/2017
147|RDC 148/2017
52|RDC 149/2001
74|RDC 149/2017
147|RDC 14/2009
27|RDC 14/2011
35|RDC 150/2003
64|RDC 150/2017
24|RDC 151/2017
147|RDC 152/2017
52|RDC 153/2004
162|RDC 153/2017
57|RDC 154/2004
147|RDC 154/2017
64|RDC 155/2017
145|RDC 156/2017
120|RDC 157/2017
147|RDC 158/2017
85|RDC 159/2017
147|RDC 15/1999
111|RDC 15/2003
147|RDC 15/2009
147|RDC 15/2010
115|RDC 15/2013
74|RDC 160/2017
147|RDC 161/2017
147|RDC 162/2017
147|RDC 163/2017
145|RDC 164/2017
162|RDC 165/2017
120|RDC 166/2017
60|RDC 167/2017
147|RDC 168/2002
111|RDC 168/2004
85|RDC 169/2017
147|RDC 16/2003
137|RDC 16/2010
123|RDC 16/2013
147|RDC 170/2017
147|RDC 171/2004
120|RDC 171/2017
63|RDC 172/2003
118|RDC 172/2017
139|RDC 173/2017
82|RDC 174/2017
107|RDC 175/2004
109|RDC 175/2006
85|RDC 175/2017
162|RDC 176/2017
85|RDC 178/2002
115|RDC 178/2017
115|RDC 179/2006
147|RDC 179/2017
109|RDC 17/2012
148|RDC 17/2014
110|RDC 17/2015
147|RDC 180/2017
147|RDC 181/2017
147|RDC 183/2017
109|RDC 185/2005
85|RDC 186/2017
24|RDC 187/2006
146|RDC 188/2005
85|RDC 188/2017
123|RDC 189/2003
85|RDC 18/2003
24|RDC 18/2009
110|RDC 18/2011
146|RDC 18/2012
123|RDC 18/2013
85|RDC 18/2015
52|RDC 190/2003
95|RDC 190/2017
120|RDC 191/2017
85|RDC 192/2017
70|RDC 193/2017
92|RDC 194/2002
117|RDC 194/2017
92|RDC 195/2002
26|RDC 197/2015
147|RDC 198/2017
35|RDC 199/2002
111|RDC 199/2003
147|RDC 199/2017
88|RDC 19/2000
85|RDC 19/2008
140|RDC 19/2009
74|RDC 19/2010
145|RDC 19/2011
52|RDC 19/2012
115|RDC 19/2013
85|RDC 200/2004
140|RDC 201/2006
85|RDC 202/2006
147|RDC 202/2017
110|RDC 203/2017
105|RDC 204/2005
120|RDC 204/2017
118|RDC 205/2017
94|RDC 206/2004
105|RDC 206/2005
43|RDC 206/2017
147|RDC 20/2003
147|RDC 20/2009
107|RDC 20/2012
123|RDC 20/2014
120|RDC 20/2015
115|RDC 211/2005
111|RDC 213/2018
120|RDC 214/2006
123|RDC 216/2004
91|RDC 216/2006
147|RDC 218/2006
157|RDC 219/2005
84|RDC 21/2009
85|RDC 21/2010
147|RDC 21/2011
120|RDC 21/2012
104|RDC 21/2013
125|RDC 21/2014
123|RDC 220/2004
123|RDC 220/2006
145|RDC 221/2004
50|RDC 221/2005
147|RDC 222/2003
145|RDC 224/2018
147|RDC 225/2003
95|RDC 226/2003
94|RDC 226/2004
85|RDC 228/2001
85|RDC 22/2001
113|RDC 22/2009
109|RDC 22/2010
111|RDC 22/2012
158|RDC 22/2013
83|RDC 22/2014
74|RDC 22/2015
120|RDC 232/2005
117|RDC 233/2005
102|RDC 234/2001
53|RDC 23/2002
106|RDC 23/2003
147|RDC 23/2010
51|RDC 23/2011
120|RDC 23/2012
79|RDC 23/2013
105|RDC 23/2015
43|RDC 240/2003
115|RDC 240/2004
95|RDC 244/2003
109|RDC 246/2002
85|RDC 249/2002
147|RDC 24/1999
52|RDC 24/2002
74|RDC 24/2010
147|RDC 24/2012
97|RDC 250/2004
24|RDC 251/2004
85|RDC 254/2003
147|RDC 25/2000
105|RDC 25/2008
50|RDC 25/2012
147|RDC 25/2015
